编号,内容
0,"注册成功!

感谢注册微信奇幻网游《传说》，目前游戏处于删档测试阶段，有什么问题和建议请联系邮箱xuzhiping7@qq.com，希望您能够享受和喜欢这个世界。

（请输出‘传说’两个字，开启您的游戏旅程！）"
1,请输出‘我’查看您的最新状态。输入‘帮助’可以查看相关操作指令。
2,注册
3,欢迎来到微信奇幻网游《传说》，请输出'注册'，确认注册游戏。
4,"创建角色中,请输入您的角色名。(例如‘德玛西亚皇子’，8个汉字内。)"
5,角色【%s】成功创建！请输入'帮助'开始游戏简单的指导。
6,"%s
当前地点:%s

等级:%d  经验:%d/%d
职业:%s
称号:%s
状态：%s

行动力:%d
声望:%d

生命:%s
负重:%s
抗性:%s

攻击:%d   防御:%d
体力:%d   敏捷:%d
剩余分配点数:%d

(您可以输入'当前'查看你所能做的事情)"
7,抱歉，你不能到达这个地方。
8,你到达了%s
9,"前往%s
"
10,"你当前可以前往的地方:
"
11,"您可以输入相应关键字来实现的操作：
‘我’----查看角色状态
‘当前’----查看事件状态
‘前往’----查看你可以去的地方
‘前往’+ ‘地名’----命令角色前往目标地方
‘修炼’----在角色当前的地方修炼
‘搜寻’----搜寻当前地方的物品或事件"
12,很遗憾，你没有搜寻到你所有用的信息或物品。
100,网络错误，请重新输入。
10001,测试测试测试测试
800000,"你在%s遇到了%s，你与它艰难地搏斗了一番，最终取得了胜利。

经验：+%d
获得：【%s × %d】--一级素材，可以卖给商人。"
800001,"恭喜你升级了！"
900000,"版本：Version_0.10728
当前在线人数:%d人"
